activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value
15187943,1468788,91326,2287794,1836049,=,7.3,,0,pMIC50,,,0,,BAO_0000179,,,,,,1,pMIC50,=,7.3,,,
15734998,1520141,93614,2504878,1966198,=,0.0,%,1,F,,,0,,BAO_0003042,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,F,=,0.0,%,,
14770339,1369279,84147,2132205,735095,,25100.0,nM,1,Solubility,,,0,,BAO_0002135,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,27,Solubility,,25.1,uM,,
15418983,1479237,91877,2427274,1883771,=,-3.377,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,-3.377384522,%,,
15469132,1490410,92125,2468487,674632,,,,0,Drug metabolism,metabolite_not_detected,,0,,BAO_0000179,,,,,,1,Drug metabolism,,,,,
16263152,1536249,94711,2521189,1980685,=,13.0,nM,1,IC50,285960,,0,7.89,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,37,IC50,=,13.0,nM,,
14710879,1361105,83856,2115609,1578271,,,,0,Activity,Non-toxic,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15054870,1448567,90400,2242441,1781837,=,11.0,nM,1,EC50,,,0,7.96,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.011,uM,,
14774464,1369313,84168,2134462,585288,=,-14.7,%,1,Inhibition,,Outside typical range,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,Inhibition,=,-14.70265632769917,%,,
14973410,1444447,90077,2244043,1817959,>,50000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,50.0,uM,,
15729744,1519651,93552,2503699,1965269,>,1620000.0,nM,1,MIC,,,0,,BAO_0002146,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,MIC,>,1.62,umol/ml,,
14976172,1444620,90082,2244134,11305,=,921.0,nM,1,IC50,,,0,6.04,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,921.0,nM,,
15009805,1451745,90195,2248251,1778643,=,9390.0,nM,1,GI50,,,0,,BAO_0000189,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,GI50,=,9.39,uM,,
15545326,1495346,51887,1080728,778710,,14125.4,nM,1,Potency,active,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,14.1254,uM,,
15538688,1495346,51887,1200719,925860,,12589.3,nM,1,Potency,inconclusive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,12.5893,uM,,
15396838,1479237,91877,2453939,1895147,=,5.055,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,5.054690485,%,,
16288163,1534984,94218,2534814,1993115,=,101.0,nM,1,IC50,226664,,0,7.0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,37,IC50,=,101.0,nM,,
