assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
168690,9890,The compound was tested for % change in plasma triglycerides in cholesterol-fed rats at 25 mg/kg dose given in a period of 3 days,F,,,Rattus norvegicus,10116.0,,Plasma,,,50597,N,1,Intermediate,1,,CHEMBL773176,,BAO_0000218,1969.0,,CLD0
621385,50336,Cytotoxicity against human OVCAR4 cells assessed as cell growth at 0.1 uM after 1 to 11 days by MTT assay,F,,,Homo sapiens,9606.0,,,OVCAR-4,,80355,N,1,Autocuration,1,,CHEMBL1113204,493.0,BAO_0000219,,,CLD0
1285211,76512,Inhibition of ALDH1A1 (unknown origin) using NAD+/propionaldehyde as substrate after 15 mins by UV-fluorescence assay,B,,,Homo sapiens,9606.0,,,,,11130,D,9,Autocuration,1,616503,CHEMBL3107142,,BAO_0000357,,,CLD0
79690,11876,Standard thymidine incorporation assay (TdR) was carried out for 48 hr with an 8 hr pulse of [3H]- thymidine (TdR8) (n=16) and ID50 value was evaluated,F,,,Homo sapiens,9606.0,,,HL-60,,80156,N,1,Intermediate,1,,CHEMBL692893,649.0,BAO_0000219,,,CLD0
31845,13642,In vitro binding affinity at human Adenosine A3 receptor from HEK293 cells by [125I]AB-MECA displacement.,B,,,,,,,HEK293,,280,H,8,Expert,1,,CHEMBL641522,722.0,BAO_0000219,,,CLD0
859451,65809,Antibacterial activity against Haemophilus influenzae ATCC 49766 incubated for 20 to 24 hrs,F,,,Haemophilus influenzae,727.0,ATCC 49766,,,,50240,N,1,Autocuration,1,480797,CHEMBL2167529,,BAO_0000218,,,CLD0
631002,50972,"Dose normalized AUC in Beagle dog at 0.2 mg/kg, po",A,,,Canis lupus familiaris,9615.0,beagle,,,,50588,N,1,Autocuration,1,,CHEMBL1110973,,BAO_0000218,,,CLD0
155843,12388,Inhibition of Ca++ calmodulin dependent-PDE 1 from porcine aorta,B,,,Sus scrofa,9823.0,,,,,104735,H,4,Autocuration,1,,CHEMBL768662,,BAO_0000224,,,CLD0
990013,75320,Growth inhibition of human A498 cells assessed as cell growth at 10 uM after 48 hrs by sulforhodamine B assay relative to control,F,,,Homo sapiens,9606.0,,,A498,,80021,N,1,Autocuration,1,602431,CHEMBL2443436,624.0,BAO_0000219,,,CLD0
1514183,93394,Growth inhibition of human K562 cells at 10 uM incubated for 24 hrs by trypan blue dye exclusion assay,F,,,Homo sapiens,9606.0,,,K562,,80186,N,1,Autocuration,1,767489,CHEMBL3614626,655.0,BAO_0000219,,,CLD0
754249,58119,Inhibition of CYP2C9,A,,,,,,,,,12911,H,8,Autocuration,1,386124,CHEMBL1798936,,BAO_0000357,,,CLD0
559260,45022,Displacement of [3H]RTX from rat TRPV1 expressed in HEK293 cells,B,,,Rattus norvegicus,10116.0,,,HEK293,,11978,D,9,Autocuration,1,,CHEMBL1015448,722.0,BAO_0000219,,,CLD0
1282400,76436,Inhibition of NTR1 receptor (unknown origin),B,,,Homo sapiens,9606.0,,,,,12910,D,9,Autocuration,1,612837,CHEMBL3100579,,BAO_0000357,,,CLD0
663519,52916,"Antiinflammatory effect in Freund's complete adjuvant-induced Lewis rat arthritis model assessed as reduction of paw swelling at 0.3 mg/kg, po bid administered on day 11 post adjuvant challenge measured repeated 3 times per week by volume displacement plethysmometry",F,,,Rattus norvegicus,10116.0,Lewis,,,,50597,N,1,Autocuration,1,,CHEMBL1251172,,BAO_0000218,,,CLD0
750262,57910,"Neurotoxicity in mouse assessed as electrically-induced clonic seizures at 100 mg/kg, ip after 0.25 hrs by rotarod test",A,,,Mus musculus,10090.0,,,,,50594,N,1,Autocuration,1,379725,CHEMBL1788103,,BAO_0000218,,,CLD0
221457,10551,In vivo total number of survivors was determined against P388 leukemia cells out of 5 mouse at 50 day,F,,,Mus musculus,10090.0,,,P388,,50594,N,1,Intermediate,1,,CHEMBL843556,549.0,BAO_0000218,,,CLD0
894327,67909,Antifungal activity against Fusarium oxysporum assessed as mycelial growth inhibition at 10 ppm at 28 +/-2 degC after 7 days by food poison technique,F,,,Fusarium oxysporum,5507.0,,,,,50448,N,1,Autocuration,1,511539,CHEMBL3050192,,BAO_0000218,,,CLD0
553142,42234,Antimicrobial activity against Apophysomyces elegans assessed as percent of susceptible isolates after 24 hrs,F,,,Apophysomyces elegans,90269.0,,,,,101654,N,1,Autocuration,1,,CHEMBL955638,,BAO_0000218,,,CLD0
121376,9131,Percent survival was determined over a period of 30 days after intraperitoneal administration of a dose of 9.4 mg/kg in mice,F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL730708,,BAO_0000218,,,CLD0
877572,66696,Inhibition of rat kidney PDE4 by [3H]cGMP based tritium scintillation proximity assay,B,,,Rattus norvegicus,10116.0,,,,,22226,U,0,Autocuration,1,490676,CHEMBL2184507,,BAO_0000019,,,CLD0
589207,48726,Inhibition of Dengue virus IMPDH,B,,,Dengue virus,12637.0,,,,,22226,U,0,Autocuration,1,,CHEMBL1041201,,BAO_0000019,,,CLD0
1364365,83746,Cytotoxicity against human PANC1 cells in nutrient-deprived NDM media by WST8 assay,F,,,Homo sapiens,9606.0,,,PANC-1,,22221,N,1,Autocuration,1,692405,CHEMBL3294234,525.0,BAO_0000219,,,CLD0
1334306,82143,"Antitumor activity against mouse Ridgway osteogenic sarcoma allografted in AKR mouse assessed as tumor growth inhibition at 0.10 mg/kg, ip administered daily for 8 to 10 days compound treatment commenced 8 days after tumor implantation",F,,,Mus musculus,10090.0,,,,,22221,N,1,Autocuration,1,656238,CHEMBL3231462,,BAO_0000218,,,CLD0
192483,470,Tested for depression of contractions elicited by angiotensin II receptor in isolated rat aorta,F,,,Rattus norvegicus,10116.0,,Aorta,,,50597,N,1,Intermediate,1,,CHEMBL795759,,BAO_0000218,947.0,,CLD0
849191,65382,"Anxiolytic activity in C57Bl/6N mouse assessed as ambulation distance at 3 mg/kg, ip measured after 30 mins by open field test ( Rvb = 31.8 +/- 1.7 m)",F,,,Mus musculus,10090.0,C57Bl/6N,,,,50594,N,1,Autocuration,1,473529,CHEMBL2148429,,BAO_0000218,,,CLD0
531979,41995,Reduction of AP1 binding to cyclin D promoter in human LNCaP cells by electrophoretic mobility shift assay,B,,,Homo sapiens,9606.0,,,LNCaP,,10028,D,9,Autocuration,1,,CHEMBL988801,330.0,BAO_0000219,,,CLD0
464625,38469,Antiplasmodial activity against parasitemia in Plasmodium berghei ANKA infected NMRI mice (Mus musculus) at 10 mg/kg intraperitoneal dose after 4 days,F,,,Plasmodium falciparum,5833.0,ANKA,,,,50425,N,1,Intermediate,1,,CHEMBL948907,,BAO_0000218,,,CLD0
486136,41738,Growth regulatory activity on Brassica juncea root assessed as complete inhibition of germination and seedling growth at 500 ppm after 10 days,F,,,Brassica juncea,3707.0,,,,,101687,N,1,Autocuration,1,,CHEMBL1013166,,BAO_0000218,,,CLD0
980613,74771,Antimalarial activity against mid to late trophozoite stage of Plasmodium falciparum 3D7 infected in RBC assessed as abnormal mitochondria at 0.6 uM after 0.5 hrs by MitoTracker Red CMXRos-based fluorescence microscopic analysis relative to untreated control,F,,,Plasmodium falciparum,5833.0,3D7,,,Mitochondria,50425,N,1,Autocuration,1,590780,CHEMBL2423130,,BAO_0000218,,,CLD0
542688,45987,Inhibition of Abl with T315N mutant,B,,,Homo sapiens,,,,,,8,H,8,Autocuration,1,,CHEMBL1015941,,BAO_0000019,,637.0,CLD0
1438820,89885,Oral bioavailability in Sprague-Dawley rat at 20 mg/kg,A,,,Rattus norvegicus,10116.0,Sprague-Dawley,,,,50597,N,1,Autocuration,1,716496,CHEMBL3390288,,BAO_0000218,,,CLD0
795782,60674,Drug metabolism in human liver microsomes assessed as formation of 1-(4-fluorobenzyl)-2-(piperidin-3-yl)-1H-benzo[d]imidazole at 50 uM after 120 mins by LCMS analysis,A,,,Homo sapiens,9606.0,,Liver,,Microsome,102164,S,2,Autocuration,1,425340,CHEMBL1936669,,BAO_0000251,2107.0,,CLD0
645688,52115,Antimicrobial activity against Escherichia coli DH10B by Etest method in presence of 4 ug/ml clavulanic acid,F,,,Escherichia coli K-12,83333.0,DH10B,,,,50049,N,1,Autocuration,1,,CHEMBL1217802,,BAO_0000218,,,CLD0
791295,60472,Antibacterial activity against Enterococcus faecium 09-1 after 18 hrs by two fold serial dilution method,F,,,Enterococcus faecium,1352.0,09-1,,,,50266,N,1,Autocuration,1,419926,CHEMBL1929863,,BAO_0000218,,,CLD0
1540434,97525,Chemical stability of the compound in buffer assessed as compound remaining at pH 2 after 1 hr by HPLC analysis,P,,,,,,,,,22229,U,0,Autocuration,1,787168,CHEMBL3743288,,BAO_0000100,,,CLD0
47511,15632,Inhibitory activity against human carbonic anhydrase I (CA1),B,,,,,,,,,10193,H,8,Expert,1,,CHEMBL657821,,BAO_0000357,,,CLD0
144041,14230,Functional potency for Nicotinic acetylcholine receptor alpha-7 (rat brain),B,,,,,,,,,12167,H,8,Autocuration,1,,CHEMBL751077,,BAO_0000019,,,CLD0
650545,52335,Cytotoxicity against human MALME-3M cells,F,,,Homo sapiens,9606.0,,,Malme-3M,,81248,N,1,Autocuration,1,,CHEMBL1225011,480.0,BAO_0000219,,,CLD0
987345,75109,"Cmax in C57BL/6 mouse blood at 3 mg/kg, po",A,,,Mus musculus,10090.0,C57BL/6,Blood,,,50594,N,1,Autocuration,1,599533,CHEMBL2438195,,BAO_0000218,178.0,,CLD0
978474,74755,Ratio of 5-fluorouracil IC50 to compound IC50 for human Hep2 cells,F,,,Homo sapiens,9606.0,,,HEp-2,,80945,N,1,Autocuration,1,588098,CHEMBL2421493,697.0,BAO_0000219,,,CLD0
517621,45700,"Cmax in healthy human plasma after 50 mg oral dose, normalised for 70 kg subject",A,In vivo,,Homo sapiens,9606.0,,Plasma,,,50587,N,1,Autocuration,1,,CHEMBL982552,,BAO_0000218,1969.0,,CLD0
921147,70525,Antifeedant activity against fourth-instar larval stage of Spilarctia obliqua reared on artificial diet containing compound assessed as growth inhibition at 4000 ppm after 48 hr,F,,,Spilarctia obliqua,1288830.0,,Instar larval stage,,,107396,N,1,Autocuration,1,533582,CHEMBL3059004,,BAO_0000218,4730.0,,CLD0
1447732,90394,Agonist activity at human CB2 receptor expressed in Sf9 cells coexpressing Galpha i2 assessed as Galpha GTPase activity using [gamma-33P]GTP by scintillation counting,B,,,Homo sapiens,9606.0,,,Sf9,,259,D,9,Autocuration,1,695205,CHEMBL3376224,1759.0,BAO_0000219,,,CLD0
1457916,89232,Displacement of [125ITyr11- somatostatin-14 from sst receptor (unknown origin) at 10 uM relative to control,B,,,Homo sapiens,9606.0,,,,,104951,D,5,Autocuration,1,706726,CHEMBL3370823,,BAO_0000224,,,CLD0
51498,137,In vitro inhibitory activity against Cyclooxygenase was determined,B,,,,,,,,,104742,H,4,Autocuration,1,,CHEMBL665833,,BAO_0000224,,,CLD0
1475011,91674,"Drug uptake in wild type C57BL/6 mouse liver at 400 KBq/g, iv measured at 10 mins by PET/CT analysis",A,,,Mus musculus,10090.0,C57BL/6,Liver,,,102280,N,1,Autocuration,1,742275,CHEMBL3424538,,BAO_0000218,2107.0,,CLD0
851051,65395,Cytotoxicity against human A549 cells after 48 hrs by SRB assay,F,,,Homo sapiens,9606.0,,,A549,,80682,N,1,Autocuration,1,475126,CHEMBL2157516,646.0,BAO_0000219,,,CLD0
86637,7334,Intensity calculated on a molar basis relative to a 0.25 M sucrose solution at a concentration of 246 ppm (mean value),F,,,Homo sapiens,9606.0,,,,,50587,N,1,Intermediate,1,,CHEMBL698547,,BAO_0000218,,,CLD0
916260,70439,Phytotoxicity against Triticum aestivum (wheat) assessed as injury at 5 g/ha applied as post-emergent treatment at 15 days post-sowing measured after 15 days relative to control,A,,,Triticum aestivum,4565.0,,,,,50403,N,1,Autocuration,1,532435,CHEMBL3080678,,BAO_0000218,,,CLD0
931041,71551,Antibacterial activity against Escherichia coli MTCC 443 assessed as growth inhibition after 24 hr by NCCLS broth microdilution method,F,,,Escherichia coli,562.0,MTCC 443,,,,50212,N,1,Autocuration,1,546808,CHEMBL3069218,,BAO_0000218,,,CLD0
719847,55483,Antibacterial activity against Enterococcus faecalis in presence of 250 ug/ml thymidine,F,,,Enterococcus faecalis,1351.0,,,,,50353,N,1,Autocuration,1,,CHEMBL1680205,,BAO_0000218,,,CLD0
923083,70790,Antibacterial activity against Staphylococcus aureus ATCC 11632 assessed as growth inhibition after 24 hr by two-fold serial dilution method,F,,,Staphylococcus aureus,1280.0,ATCC 11632,,,,50185,N,1,Autocuration,1,538444,CHEMBL3077207,,BAO_0000218,,,CLD0
517985,45703,Ratio of EC50 for HIV2 ROD with protease V47A mutation to EC50 for wild type HIV2 ROD,F,,,Human immunodeficiency virus 2,11709.0,,,,,50658,N,1,Autocuration,1,,CHEMBL991381,,BAO_0000218,,,CLD0
959172,73671,Inhibition of wild type Mycobacterium tuberculosis RNA polymerase after 10 mins by rolling circle transcription assay in presence of DNA nanocircle template NC45,B,,,Mycobacterium tuberculosis,1773.0,,,,,22226,U,0,Autocuration,1,571004,CHEMBL2383455,,BAO_0000019,,,CLD0
924790,70909,Insecticidal activity against green rice Nephotettix cincticeps (green rice leafhopper) third-instar larvae assessed as mortality at 50 ppm applied through spray measured after 4 days,F,,,Nephotettix cincticeps,94400.0,,,,,107308,N,1,Autocuration,1,541030,CHEMBL3069871,,BAO_0000218,,,CLD0
570645,47388,"Effect on ethanol-induced sleeping time in CD1 albino mouse assessed as increase in duration of loss of righting reflex at 10 mg/kg, po preincubated 30 mins before ethanol challenge",F,,,Mus musculus,10090.0,CD1 albino,,,,50594,N,1,Autocuration,1,,CHEMBL1033585,,BAO_0000218,,,CLD0
109354,12289,Maximum soluble dosage which induces toxicity in mice when administered intraperitoneally was determined,A,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL716331,,BAO_0000218,,,CLD0
724721,55506,"Therapeutic index, ratio of TC50 for human PBMC cells to IC50 for Human immunodeficiency virus 1 JV 1083",A,,,,,,,PBMC,,22224,U,0,Autocuration,1,,CHEMBL1676863,394.0,BAO_0000219,,,CLD0
1289834,76813,"Cmax in nude rat at 10 mg/kg, po",A,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Autocuration,1,620096,CHEMBL3119308,,BAO_0000218,,,CLD0
1334721,82358,"Drug uptake in CD-1 mouse hippocampus at 70 uCi, iv administered 10 mins post naltrindole challenge measured after 90 mins",A,,,Mus musculus,10090.0,CD-1,Hippocampus,,,102274,N,1,Autocuration,1,629962,CHEMBL3238668,,BAO_0000218,10000000.0,,CLD0
1355768,83638,Inhibition of histamine-induced gastric acid secretion in iv dosed rat in perfused stomach preparation measured after 15 mins,F,,,Rattus norvegicus,10116.0,,Stomach,,,50597,N,1,Autocuration,1,674884,CHEMBL3281499,,BAO_0000218,945.0,,CLD0
1495946,92400,Inhibition of ASIC1a in Wistar rat pyramidal hippocampal neurons assessed as ASIC1a-like currents level at 100 nM by patch clamp assay,B,,,Rattus norvegicus,10116.0,Wistar,,,,109766,D,9,Autocuration,1,746016,CHEMBL3579926,,BAO_0000019,,,CLD0
1525504,93849,Inhibition of CYP1A2 (unknown origin) using luciferin tagged substrate preincubated for 10 mins before substrate addition,A,,,Homo sapiens,9606.0,,,,,12594,D,9,Autocuration,1,777526,CHEMBL3636857,,BAO_0000357,,,CLD0
369175,31362,"Oral bioavailability in female rat at 1 mg/kg, iv and po",A,In vivo,,Rattus norvegicus,10116.0,,,,,50597,N,1,Intermediate,1,,CHEMBL862903,,BAO_0000218,,,CLD0
166792,17704,Distribution in hippocampus of rat brain after intravenous administration by using [123I]ZIET after 5 min,A,,,Rattus norvegicus,10116.0,,Hippocampus,,,50597,N,1,Intermediate,1,,CHEMBL774626,,BAO_0000218,10000000.0,,CLD0
116153,11932,Retention time in (R)-PIA) induced avoidance test (performed in mice) for antagonistic activity after peroral administration of 0.31 mg/kg (n=15) (P<0.005),F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL720663,,BAO_0000218,,,CLD0
707771,55017,Antibacterial activity against Streptococcus pneumoniae S004 harboring wild-type parC and gyrA Gly85Asn mutant genes assessed as mutation prevention concentration after 48 hrs,F,,,Streptococcus pneumoniae,1313.0,S004,,,,50028,N,1,Autocuration,1,,CHEMBL1665936,,BAO_0000218,,,CLD0
174365,8349,Duration of anti-ovulatory activity was measured at noon on diestrus II and the vehicle was 50% propylene glycol /0.9 % mazola corn oil,F,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Intermediate,1,,CHEMBL783216,,BAO_0000218,,,CLD0
1517259,93420,Inhibition of decatenation activity of DNA topoisomerase 4 in hospital methicillin-resistant Staphylococcus aureus 80/05 using kDNA as substrate at 32 ug/ml after 1 hr using ethidium bromide staining by agarose gel electrophoresis,B,,,Staphylococcus aureus,1280.0,80/05,,,,107934,D,7,Autocuration,1,766250,CHEMBL3620468,,BAO_0000223,,,CLD0
742594,57260,Antagonist activity at human mu opioid receptor expressed in CHO cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding at 10 uM by scintillation counting,F,,,Homo sapiens,9606.0,,,CHO,,129,D,9,Autocuration,1,365370,CHEMBL1769437,449.0,BAO_0000219,,,CLD0
1485586,92115,"Biodistribution in female Sprague-Dawley rat thymus at 5 mg/kg, po administered as single dose measured after 1 hr",A,,,Rattus norvegicus,10116.0,Sprague-Dawley,Thymus,,,102367,N,1,Autocuration,1,652938,CHEMBL3539844,,BAO_0000218,2370.0,,CLD0
701530,54782,Oral bioavailability in dog at 2 mg/kg,A,In vivo,,Canis lupus familiaris,9615.0,,,,,50588,N,1,Autocuration,1,,CHEMBL1656169,,BAO_0000218,,,CLD0
835747,63059,Binding affinity to human p38alpha,B,,,Homo sapiens,9606.0,,,,,10188,D,9,Autocuration,1,468201,CHEMBL2071858,,BAO_0000357,,,CLD0
1448310,90153,Induction of DNA fragmentation in human HCT116 cells at IC50 after 30 mins relative to control,F,,,Homo sapiens,9606.0,,,HCT-116,,80928,N,1,Autocuration,1,696063,CHEMBL3375646,721.0,BAO_0000219,,,CLD0
715368,55293,Activity at human ERalpha expressed in HEK293 cells assessed as relative transcription activation by estrogen response element-lucifease assay relative to estradiol,B,,,Homo sapiens,9606.0,,,HEK293,,19,D,9,Autocuration,1,,CHEMBL1664697,722.0,BAO_0000219,,,CLD0
308183,20103,Fold selectivity for KDR over TIE2 kinase,B,,,Homo sapiens,9606.0,,,,,105065,D,5,Expert,1,,CHEMBL831303,,BAO_0000224,,,CLD0
