id,name
0000001,mitochondrion inheritance
0000002,mitochondrial genome maintenance
0000003,reproduction
0000005,obsolete ribosomal chaperone activity
0000006,high-affinity zinc transmembrane transporter activity
0000007,low-affinity zinc ion transmembrane transporter activity
0000008,obsolete thioredoxin
0000009,"alpha-1,6-mannosyltransferase activity"
0000010,trans-hexaprenyltranstransferase activity
0000011,vacuole inheritance
0000012,single strand break repair
0000014,single-stranded DNA endodeoxyribonuclease activity
0000015,phosphopyruvate hydratase complex
0000016,lactase activity
0000017,alpha-glucoside transport
0000018,regulation of DNA recombination
0000019,regulation of mitotic recombination
0000020,obsolete negative regulation of recombination within rDNA repeats
0000022,mitotic spindle elongation
0000023,maltose metabolic process
0000024,maltose biosynthetic process
0000025,maltose catabolic process
0000026,"alpha-1,2-mannosyltransferase activity"
0000027,ribosomal large subunit assembly
0000028,ribosomal small subunit assembly
0000030,mannosyltransferase activity
0000031,mannosylphosphate transferase activity
0000032,cell wall mannoprotein biosynthetic process
0000033,"alpha-1,3-mannosyltransferase activity"
0000034,adenine deaminase activity
0000035,acyl binding
0000036,acyl carrier activity
0000038,very long-chain fatty acid metabolic process
0000039,obsolete plasma membrane long-chain fatty acid transporter
0000041,transition metal ion transport
0000044,obsolete ascorbate stabilization
0000045,autophagosome assembly
0000047,obsolete Rieske iron-sulfur protein
0000048,peptidyltransferase activity
0000049,tRNA binding
0000050,urea cycle
0000051,obsolete urea cycle intermediate metabolic process
0000052,citrulline metabolic process
0000053,argininosuccinate metabolic process
0000054,ribosomal subunit export from nucleus
0000055,ribosomal large subunit export from nucleus
0000056,ribosomal small subunit export from nucleus
0000059,"obsolete protein import into nucleus, docking"
0000060,"obsolete protein import into nucleus, translocation"
0000061,"obsolete protein import into nucleus, substrate release"
0000062,fatty-acyl-CoA binding
0000064,L-ornithine transmembrane transporter activity
0000067,obsolete DNA replication and chromosome cycle
0000070,mitotic sister chromatid segregation
0000072,obsolete M phase specific microtubule process
0000073,initial mitotic spindle pole body separation
0000075,cell cycle checkpoint signaling
0000076,DNA replication checkpoint signaling
0000077,DNA damage checkpoint signaling
0000078,obsolete cytokinesis after mitosis checkpoint
0000079,regulation of cyclin-dependent protein serine/threonine kinase activity
0000080,mitotic G1 phase
0000082,G1/S transition of mitotic cell cycle
0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle
0000084,mitotic S phase
0000085,mitotic G2 phase
0000086,G2/M transition of mitotic cell cycle
0000087,mitotic M phase
0000088,mitotic prophase
0000089,mitotic metaphase
0000090,mitotic anaphase
0000091,mitotic anaphase A
0000092,mitotic anaphase B
0000093,mitotic telophase
0000094,obsolete septin assembly and septum formation
0000095,S-adenosyl-L-methionine transmembrane transporter activity
0000096,sulfur amino acid metabolic process
0000097,sulfur amino acid biosynthetic process
0000098,sulfur amino acid catabolic process
0000099,sulfur amino acid transmembrane transporter activity
0000100,S-methylmethionine transmembrane transporter activity
0000101,sulfur amino acid transport
0000102,L-methionine secondary active transmembrane transporter activity
0000103,sulfate assimilation
0000104,succinate dehydrogenase activity
0000105,histidine biosynthetic process
0000107,imidazoleglycerol-phosphate synthase activity
0000108,obsolete repairosome
0000109,nucleotide-excision repair complex
0000110,nucleotide-excision repair factor 1 complex
0000111,nucleotide-excision repair factor 2 complex
0000112,nucleotide-excision repair factor 3 complex
0000113,nucleotide-excision repair factor 4 complex
0000114,obsolete regulation of transcription involved in G1 phase of mitotic cell cycle
0000115,obsolete regulation of transcription involved in S phase of mitotic cell cycle
0000116,obsolete regulation of transcription involved in G2-phase of mitotic cell cycle
0000117,regulation of transcription involved in G2/M transition of mitotic cell cycle
0000118,histone deacetylase complex
0000120,RNA polymerase I transcription regulator complex
0000121,glycerol-1-phosphatase activity
0000122,negative regulation of transcription by RNA polymerase II
0000123,histone acetyltransferase complex
0000124,SAGA complex
0000125,PCAF complex
0000126,transcription factor TFIIIB complex
0000127,transcription factor TFIIIC complex
0000128,flocculation
0000131,incipient cellular bud site
0000132,establishment of mitotic spindle orientation
0000133,polarisome
0000136,mannan polymerase complex
0000137,Golgi cis cisterna
0000138,Golgi trans cisterna
0000139,Golgi membrane
0000140,acylglycerone-phosphate reductase activity
0000142,cellular bud neck contractile ring
0000144,cellular bud neck septin ring
0000145,exocyst
0000146,microfilament motor activity
0000147,actin cortical patch assembly
0000148,"1,3-beta-D-glucan synthase complex"
0000149,SNARE binding
0000150,DNA strand exchange activity
0000151,ubiquitin ligase complex
0000152,nuclear ubiquitin ligase complex
0000153,cytoplasmic ubiquitin ligase complex
0000154,rRNA modification
0000155,phosphorelay sensor kinase activity
0000156,phosphorelay response regulator activity
0000159,protein phosphatase type 2A complex
0000160,phosphorelay signal transduction system
0000161,osmosensory signaling MAPK cascade
0000162,tryptophan biosynthetic process
0000164,protein phosphatase type 1 complex
0000165,MAPK cascade
0000166,nucleotide binding
0000170,sphingosine hydroxylase activity
0000171,ribonuclease MRP activity
0000172,ribonuclease MRP complex
0000174,obsolete inactivation of MAPK (mating sensu Saccharomyces)
0000175,3'-5'-exoribonuclease activity
0000176,nuclear exosome (RNase complex)
0000177,cytoplasmic exosome (RNase complex)
0000178,exosome (RNase complex)
0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
0000180,obsolete cytosolic large ribosomal subunit
0000181,obsolete cytosolic small ribosomal subunit
0000182,rDNA binding
0000183,rDNA heterochromatin assembly
0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
0000185,obsolete activation of MAPKKK activity
0000186,obsolete activation of MAPKK activity
0000187,obsolete activation of MAPK activity
0000188,obsolete inactivation of MAPK activity
0000189,obsolete MAPK import into nucleus
0000190,obsolete MAPKKK cascade (pseudohyphal growth)
0000191,obsolete activation of MAPKKK (pseudohyphal growth)
0000192,obsolete activation of MAPKK (pseudohyphal growth)
0000193,obsolete activation of MAPK (pseudohyphal growth)
0000194,obsolete inactivation of MAPK (pseudohyphal growth)
0000195,obsolete nuclear translocation of MAPK (pseudohyphal growth)
0000196,cell wall integrity MAPK cascade
0000197,obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis
0000198,obsolete activation of MAPKK activity involved in cell wall organization or biogenesis
0000199,obsolete activation of MAPK activity involved in cell wall organization or biogenesis
0000200,obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis
0000201,obsolete MAPK import into nucleus involved in cell wall organization or biogenesis
0000202,obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)
0000203,obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)
0000204,obsolete activation of MAPKK during sporulation (sensu Saccharomyces)
0000205,obsolete activation of MAPK during sporulation (sensu Saccharomyces)
0000206,obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)
0000207,obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)
0000208,obsolete MAPK import into nucleus involved in osmosensory signaling pathway
0000209,protein polyubiquitination
0000210,NAD+ diphosphatase activity
0000211,obsolete protein degradation tagging activity
0000212,meiotic spindle organization
0000213,tRNA-intron endonuclease activity
0000214,tRNA-intron endonuclease complex
0000215,tRNA 2'-phosphotransferase activity
0000216,obsolete M/G1 transition of mitotic cell cycle
0000217,DNA secondary structure binding
0000219,obsolete vacuolar hydrogen-transporting ATPase
0000220,"vacuolar proton-transporting V-type ATPase, V0 domain"
0000221,"vacuolar proton-transporting V-type ATPase, V1 domain"
0000222,"plasma membrane proton-transporting V-type ATPase, V0 domain"
0000223,"plasma membrane proton-transporting V-type ATPase, V1 domain"
